No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-06-05 13:50:25,122.002,24.5255,3.5,13.8,24.53N 122.00E, i.e. 33.2 km SE of Yilan County(24.53N 122.00E, i.e. 33.2 km SE of Yilan County)
Small area,2024-06-05 04:42:21,121.829,24.1497,3.5,21.7,24.15N 121.83E, i.e. 27.6 km NE of Hualien County(24.15N 121.83E, i.e. 27.6 km NE of Hualien County)
Small area,2024-06-04 19:45:18,121.709,24.3083,3,16.6,24.31N 121.71E, i.e. 36.3 km NNE of Hualien County(24.31N 121.71E, i.e. 36.3 km NNE of Hualien County)
Small area,2024-06-03 23:04:40,120.297,23.0413,3.3,13.9,23.04N 120.30E, i.e. 12.7 km ENE of Tainan City(23.04N 120.30E, i.e. 12.7 km ENE of Tainan City)
Small area,2024-06-03 23:01:10,121.605,23.9007,3.6,28.6,23.90N 121.61E, i.e. 10.1 km S of Hualien County(23.90N 121.61E, i.e. 10.1 km S of Hualien County)
Small area,2024-06-03 16:48:50,121.471,23.9267,3,14.2,23.93N 121.47E, i.e. 16.7 km WSW of Hualien County(23.93N 121.47E, i.e. 16.7 km WSW of Hualien County)
Small area,2024-06-03 03:27:30,121.553,23.2477,4.1,36.1,23.25N 121.55E, i.e. 68.4 km NE of Taitung County(23.25N 121.55E, i.e. 68.4 km NE of Taitung County)
Small area,2024-06-02 21:19:34,121.585,23.8063,3.8,5.4,23.81N 121.59E, i.e. 20.8 km S of Hualien County(23.81N 121.59E, i.e. 20.8 km S of Hualien County)
Small area,2024-06-02 20:52:38,121.869,24.2953,3.9,23.7,24.30N 121.87E, i.e. 42.1 km NE of Hualien County(24.30N 121.87E, i.e. 42.1 km NE of Hualien County)
Small area,2024-06-02 19:36:43,121.812,24.1788,3.8,16.9,24.18N 121.81E, i.e. 28.5 km NE of Hualien County(24.18N 121.81E, i.e. 28.5 km NE of Hualien County)
Small area,2024-06-02 16:33:28,121.858,24.2875,3.5,10.9,24.29N 121.86E, i.e. 40.8 km NE of Hualien County(24.29N 121.86E, i.e. 40.8 km NE of Hualien County)
413   ,2024-06-02 09:28:37,121.582,23.803,4.4,6.1,23.80N 121.58E, i.e. 21.2 km SSW of Hualien County(23.80N 121.58E, i.e. 21.2 km SSW of Hualien County)
412   ,2024-06-02 09:27:24,121.597,23.8012,4.8,5.4,23.80N 121.60E, i.e. 21.2 km S of Hualien County(23.80N 121.60E, i.e. 21.2 km S of Hualien County)
Small area,2024-06-01 20:30:44,121.694,24.23,3.5,30.2,24.23N 121.69E, i.e. 27.5 km NNE of Hualien County(24.23N 121.69E, i.e. 27.5 km NNE of Hualien County)
Small area,2024-06-01 18:48:42,121.595,23.9162,3.4,8.8,23.92N 121.59E, i.e. 8.7 km SSW of Hualien County(23.92N 121.59E, i.e. 8.7 km SSW of Hualien County)
Small area,2024-06-01 14:27:58,121.659,24.1828,3.7,31.5,24.18N 121.66E, i.e. 21.6 km NNE of Hualien County(24.18N 121.66E, i.e. 21.6 km NNE of Hualien County)
Small area,2024-06-01 12:41:48,122.005,24.369,3.7,18.4,24.37N 122.00E, i.e. 47.0 km SSE of Yilan County(24.37N 122.00E, i.e. 47.0 km SSE of Yilan County)
411   ,2024-06-01 08:32:39,122,24.3635,4.9,18.8,24.36N 122.00E, i.e. 47.2 km SSE of Yilan County(24.36N 122.00E, i.e. 47.2 km SSE of Yilan County)
410   ,2024-06-01 01:10:59,121.573,24.0677,5.5,13.1,24.07N 121.57E, i.e. 9.8 km NNW of Hualien County(24.07N 121.57E, i.e. 9.8 km NNW of Hualien County)
